# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
305		1661		55121		3435
306		1661		55121		3435
307		1661		55121		3435
308		1658		55123		3435
309		1658		55123		3435
310		1658		55123		3435
311		1658		55123		3435
312		1658		55123		3435
313		1658		55123		3435
314		1658		55123		3435
315		1658		55123		3435
316		1658		55123		3435
317		1658		55123		3435
318		2142		55895		3440
319		2331		56676		3447
320		2424		57471		3462
321		2450		58203		3421
322		2388		58884		3419
323		2275		59465		3440
324		2181		59898		3449
325		2120		60301		3439
326		2040		60635		3465
327		1976		60928		3459
328		1927		61186		3458
329		1913		61435		3467
330		1848		61604		3469
331		1840		61799		3454
332		1799		61990		3445
333		1776		62149		3453
334		1755		62310		3452
335		1738		62446		3468
336		1717		62578		3461
337		1695		62714		3462
338		1680		62823		3457
339		1661		62934		3463
340		1664		63035		3455
341		1652		63125		3463
342		1636		63214		3460
343		1640		63290		3450
344		1634		63380		3453
345		1642		63464		3459
346		1635		63543		3456
347		1633		63623		3446
348		1633		63714		3456
349		1632		63801		3453
350		1623		63879		3450
351		1608		63945		3446
352		1608		64008		3443
353		1603		64074		3454
354		1599		64127		3454
355		1593		64189		3453
356		1592		64257		3445
357		1582		64343		3453
358		1575		64398		3450
359		1573		64459		3447
360		1567		64510		3453
361		1561		64555		3461
362		1562		64603		3453
363		1553		64657		3455
364		1549		64686		3452
365		1542		64716		3451
366		1538		64754		3453
367		1538		64804		3457
368		1534		64850		3460
369		1529		64882		3453
370		1527		64915		3458
371		1528		64950		3457
372		1521		64979		3453
373		1515		65003		3457
374		1515		65021		3457
375		1513		65047		3458
376		1510		65055		3455
377		1504		65071		3457
378		1509		65098		3455
379		1509		65117		3453
380		1513		65153		3454
381		1512		65174		3458
382		1510		65208		3460
383		1495		65228		3458
384		1495		65239		3460
385		1492		65248		3456
386		1493		65255		3455
387		1490		65276		3457
388		1491		65286		3455
389		1488		65299		3455
390		1489		65306		3458
391		1483		65315		3458
392		1485		65321		3458
393		1482		65326		3457
394		1483		65330		3456
395		1482		65337		3456
396		1483		65341		3454
397		1484		65348		3454
398		1484		65350		3456
399		1483		65353		3455
400		1481		65356		3455
401		1481		65358		3455
402		1479		65360		3457
403		1479		65364		3457
404		1480		65369		3458
405		1479		65372		3459
406		1480		65378		3460
407		1480		65381		3458
408		1479		65384		3459
409		1480		65387		3458
410		1480		65392		3458
411		1481		65398		3458
412		1480		65405		3460
413		1478		65407		3460
414		1479		65410		3459
415		1478		65411		3460
416		1479		65412		3459
417		1478		65413		3460
418		1478		65414		3459
419		1477		65415		3460
420		1477		65415		3460
421		1477		65415		3460
422		1477		65415		3460
423		1477		65415		3460
424		1477		65415		3460
425		1477		65415		3460
426		1477		65415		3460
427		1477		65415		3460
428		1477		65415		3460
429		1477		65415		3460
430		1477		65415		3460
431		1955		66096		3449
432		2143		66809		3471
433		2227		67542		3479
434		2187		68216		3474
435		2113		68784		3450
436		2054		69275		3487
437		1999		69685		3462
438		1951		70061		3468
439		1913		70393		3464
440		1859		70670		3477
441		1813		70909		3450
442		1785		71133		3459
443		1735		71346		3463
444		1701		71508		3465
445		1686		71673		3462
446		1661		71821		3452
447		1619		71967		3463
448		1617		72103		3471
449		1617		72245		3469
450		1613		72363		3470
451		1584		72462		3462
452		1572		72577		3472
453		1577		72678		3463
454		1552		72814		3471
455		1539		72904		3470
456		1529		72969		3463
457		1518		73040		3462
458		1510		73121		3461
